Detentor do registro,cnpj,Produto,Registro,Processo,Data Atualização Bulário,Inclusão na Plataforma,idBulaPacienteProtegido,idBulaProfissionalProtegido
PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,33009945000123,Actemra,101000655,25351222177200871,02/06/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE4NzIxOSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.Md--8C6M1EYyf0dMLzNO5tDllcQ8236L8xTJjsABd5v9_ECCaOUjaUXNiJ11IBWgaNfLg31WMl1Z1oxQ17b-Eg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE4NzIyMCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.do8mBZpPIK4Bs-J1aWCwwo96HbmcVfdX6-gFfmc8idzi-h9rqYohpiwVdG37d9mTBJxSGwO5IPWG9Cl7bws8lg
GLENMARK FARMACÊUTICA LTDA,44363661000157,AILUK,110130293,25351850164202164,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MDE4NCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.L72m2ikLpFZYninTfEHF0L7e1Gpje1gd5G-_bjv6KaxwebqbfxEnDo5H_IHeQzqd55CAKjNvvELIxbzMjyDiJw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MDE4NiIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.phYg8BSUkSh664y_RHiz8huTKO7g_jJ1x6praNgYeDlhLyL7m4WYFffr_YCNnQRu3x84Wnpft137KrdFPPSJQQ
GLENMARK FARMACÊUTICA LTDA,44363661000157,AILUK,110130296,25351445621202283,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2OTgzNSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.9vd3Yr88TUb89sPSgGYBQ2lujNaiLea-GlNd9WG96Nh6UsbxsSdg6PxesCQQOCtTOohhygwa2NIWHTqiWd5qgA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2OTgzNyIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.7nzIHbGAhSbJCPlrv9JMeBW0xIXycqw1K6CjL5kocHH5WzX5nGZCQk4SRSlFfMM0mW7lt1iI7s2PkW1FvafJRg
CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,17562075000169,ALIVIOL,115600036,250000045319951,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NjgxNyIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.fJunbclG5PxDmjQDgx929lZWtOZXElYW6wsiBiAMhD9Qo6v11L1biqqkTEF1ugXBLTZV9po_X7alOVeT7xavqw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NjgxOCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.X3B8Wv3wiIJDKjNHCalbUNODt0YA0XwCeacMeZfSHS3R5ERC2kTgPJw5M6Eo7HKF4qY4clIZAeHJucPwmSuHKQ
ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,02433631000120,ALKERAN,137640150,25351594701201607,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MTE1MCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.HuY2Iw5TcezKK8DLYwpNFc0penT-yWq_8mceKvvVnGfde8sXcyleXfjZcGg0xeaB3eaicaPHvlbn1tSjGkQPEw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MTE1MSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.MJzgNQ-ilkyUG0lX7JEe1cyKQ8vapxlBUxVA7ZRsXx_m4FHLS31msBIO4JNw6fHuEdRN8PBPMFCuHViHgqDD-A
OPEM REPRESENTAÇÃO IMPORTADORA EXPORTADORA E DISTRIBUIDORA LTDA,38909503000157,ALPROXY,127480029,25351004453201478,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MjA0OSIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.mCRuxMHL1Q2Yx3leKwqrk-Nw8qucMhFSXm9FJHnDwxPTqN_NJAcJqNnFW03WyKyQ6vCqGmgTkbBXXuuCrykHFw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MjA1MCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.zUKBXpkOo7SkF3SFfAFnjYSKDav8VGuQDk0hiz7IPU0xZbjzM3TG248PHxKGxn0Pvpza1qvcOuwo8eQm30vfVA
JP INDUSTRIA FARMACEUTICA S/A,55972087000150,CLORETO DE SÓDIO JP FISIOLÓGICO,104910070,25351024207201671,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MjkwOCIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.IryKt7IgX5hF1u76TTON5g4Cu_3f9MYTvLiOn-JQF8f6YnAtAJmAsQaCYxQGz6oT4fzl7pxe8kR01QnYHJIABQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MjkwOSIsIm5iZiI6MTc0ODg2MzI3MywiZXhwIjoxNzQ4ODYzNTczfQ.wObC5fDfQu5FjNgWPx05oHEyez74vntT6dtQXUWWNYcOkH6Pi6Qa7g1DKkrfcUKpGf30zurHwUrnDdXwxjRVOA
EMS S/A,57507378000365,COMPLEXO B 12,102350242,2599100107480,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MjUwOSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.OIdn8eEKyoODhIGQQDQCk_Av7V0QJyP2LlFab7zVlw1SS3-E4CbPRmvYzVMv650zTlibz39QOMzSj336AI-RXg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MjUxMCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.6s-WZzMgreuqBfzAdP259C0xSM56FFikCYneeCiylDIAPfCFDOFKXtU6EgiQmwQvZn-YVKnnuhzuPXkjQPdGeQ
SUPERA FARMA LABORATÓRIOS S.A,43312503000105,DBRIZ UNO,103720280,25351467742201719,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2OTYxOSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.d1TA3bEoWodT9G7DsdHnoTsRCWxPXrYFy2yUDd8fib87v2rnWt61TcXV2y99rcnTu21jyU07ngFrrMF_x5E5dw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2OTYyMCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.2wxAU6CiAW-m8ex98bnzQvk_cfNK4Z2GlC2Q_HpYJxpagbGrs7wpjQJbsXNO1o_qeGze4KFtnY4wyD-dvgRdmw
CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,17562075000169,DEXADEN,115600008,250000043509915,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NjY4NCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.UicLX-xZWCN6h2qVTlKAUYZq0eNgVuDe4TXnv70zMbYNmG6UuAdwIFy_HiGWsHeeFll9hLktCNPRALNkwqkuNA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NjY4NSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.6fgkf0AX-vtC7H5weBV9H-FpTbbgx5goitKQXcfNrukrHPv53GY0_Oaz88fuBriv9nMVoBhhh5-6OZQB8rSexQ
