idProduto,numeroRegistro,nomeProduto,expediente,razaoSocial,cnpj,data,numProcesso,dataAtualizacao
1124365,154230241,levofloxacino hemiidratado,1159323259,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,03485572000104,2025-08-29T15:38:07.000-0300,25351210912201612,2026-09-24T00:00:00.000-0300
1144823,105830876,maleato de timolol,1086238257,GERMED FARMACEUTICA LTDA,45992062000165,2025-08-15T12:55:31.000-0300,25351467752201673,2026-09-24T00:00:00.000-0300
1123256,101830153,ritonavir,0118769260,LABORATORIO FARMACEUTICO DO ESTADO DE PERNAMBUCO GOVERNADOR MIGUEL ARRAES S/A - LAFEPE,10877926000113,2026-02-05T08:42:38.000-0200,25351679846201511,2026-09-24T00:00:00.000-0300
1162844,167730548,NOFEBRIN,0451419251,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,05044984000126,2025-04-02T12:02:44.000-0300,25351072025201711,2026-09-24T00:00:00.000-0300
1122683,135690723,FINASTIL,1338230255,EMS SIGMA PHARMA LTDA,00923140000131,2025-10-08T10:18:27.000-0300,25351692699201485,2026-09-24T00:00:00.000-0300
1148528,102351191,maleato de dexclorfeniramina,0174062265,EMS S/A,57507378000365,2026-02-23T10:28:23.000-0300,25351204138201601,2026-09-24T00:00:00.000-0300
1150100,103720277,LÂNICO,0325602263,SUPERA FARMA LABORATÓRIOS S.A,43312503000105,2026-04-06T07:38:13.000-0300,25351045200201799,2026-09-24T00:00:00.000-0300
1142712,167730507,DORZAL,0708819257,LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,05044984000126,2025-05-26T11:24:54.000-0300,25351463993201643,2026-09-24T00:00:00.000-0300
1119830,105830808,cabergolina,0120759268,GERMED FARMACEUTICA LTDA,45992062000165,2026-02-05T14:13:08.000-0200,25351354382201320,2026-09-24T00:00:00.000-0300
1117,102350492,BENZOILMETRONIDAZOL,0228357268,EMS S/A,57507378000365,2026-03-09T09:51:08.000-0300,253510286640049,2026-09-24T00:00:00.000-0300
1191044,154230267,MONTELUCASTE DE SODIO,0192975269,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,03485572000104,2026-02-26T17:20:33.000-0300,25351614031201204,2026-09-24T00:00:00.000-0300
