Princípio Ativo,Detentor Registro,Nome Comercial,Registro,Concentracao,FormaFarmaceutica,Data Inclusao Lista Referência,Data Atualização Bulário,Acesso Bulário
abacavir (sulfato),Glaxosmithkline,ZIAGENAVIR,101070234,20 mg/mL,sol or,30/11/2012,2025-05-07T12:42:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070234
abacavir (sulfato),Glaxosmithkline,ZIAGENAVIR,101070234,300 mg,com rev,30/11/2012,2025-05-07T12:42:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070234
abemaciclibe,Eli Lilly,VERZENIOS,112600199,50 mg,com rev,10/02/2023,2025-05-06T11:21:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112600199
abemaciclibe,Eli Lilly,VERZENIOS,112600199,100 mg,com rev,10/02/2023,2025-05-06T11:21:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112600199
abemaciclibe,Eli Lilly,VERZENIOS,112600199,150 mg,com rev,10/02/2023,2025-05-06T11:21:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112600199
abemaciclibe,Eli Lilly,VERZENIOS,112600199,200 mg,com rev,10/02/2023,2025-05-06T11:21:50.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112600199
abiraterona (acetato),Janssen-Cilag,ZYTIGA,112363401,250 mg,com,02/08/2013,2024-09-03T16:33:04.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363401
abiraterona (acetato),Janssen-Cilag,ZYTIGA,112363420,500 mg,com rev,31/10/2019,2024-09-03T16:53:11.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363420
acalabrutinibe,Astrazeneca,CALQUENCE,116180269,100 mg,cap dura,27/12/2019,2021-01-21T09:09:29.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=116180269
acalabrutinibe (maleato),Astrazeneca,CALQUENCE,116180297,101 mg,com rev,04/10/2024,2025-05-09T15:40:06.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=116180297
acebrofilina,Aché,BRONDILAT,105730127,5 mg/mL,xpe,07/10/2013,2025-03-13T17:24:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730127
acebrofilina,Aché,BRONDILAT,105730127,10 mg/mL,xpe,07/10/2013,2025-03-13T17:24:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730127
acebrofilina,Eurofarma,FILINAR G,100431086,5 mg/ml,gel or,29/10/2014,2023-09-05T18:16:36.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100431086
aceclofenaco,Eurofarma,PROFLAM,100430817,100 mg,com rev,12/11/2012,2023-11-07T11:39:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100430817
aceclofenaco,Eurofarma,PROFLAM,100430817,15 mg/g,crem derm,12/11/2012,2023-11-07T11:39:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100430817
acetazolamida,União Química,DIAMOX,104970289,250 mg,com,31/01/2013,2025-02-25T18:22:11.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104970289
acetilcisteína,Eurofarma,ACETILCISTEÍNA,100431294,100 mg,gran,27/06/2019,2022-09-30T11:38:30.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100431294
acetilcisteína,União Química,FLUCISTEIN,104971149,40 mg/g,gran,16/10/2020,2025-03-11T17:49:34.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=104971149
acetilcisteína,Zambon,FLUIMUCIL,100840075,120 mg/g,gran,12/11/2012,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
acetilcisteína,Zambon,FLUIMUCIL,100840075,"11,5 mg/ml",sol spr nas,12/11/2012,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
acetilcisteína,Zambon,FLUIMUCIL,100840075,20 mg/ml,xpe,12/11/2012,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
acetilcisteína,Zambon,FLUIMUCIL,100840075,40 mg/ml,xpe,12/11/2012,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
acetilcisteína,Zambon,FLUIMUCIL,100840075,600 mg,com efev,12/11/2012,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
acetilcisteína,Zambon,FLUIMUCIL,100840075,100 mg/ml,sol inj,12/11/2012,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
acetilcisteína,Zambon,FLUIMUCIL,100840075,200 mg,com efev,11/06/2021,2024-07-31T17:31:08.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840075
aciclovir,Merck,ACICLOVIR,100890280,400 mg,com,12/11/2012,2025-01-31T15:13:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100890280
aciclovir,Glaxosmithkline,ZOVIRAX,101070253,200 mg,com,12/11/2012,2024-10-29T13:39:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070253
aciclovir,Teuto,ACICLOVIR,103700610,250 mg,pó liof sol inj,08/12/2023,2025-05-28T16:23:42.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700610
aciclovir,Glaxosmithkline,ZOVIRAX,101070253,50 mg/g,crem derm,12/11/2012,2024-10-29T13:39:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070253
ácido acetilsalicílico,EMS S/A,ÁCIDO ACETIL SALICÍLICO,102350508,100 mg,com,10/11/2023,2025-03-25T14:59:47.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102350508
ácido acetilsalicílico,Bayer,ASPIRINA,170560020,500mg,com,12/11/2012,2024-12-12T14:36:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560020
ácido acetilsalicílico,Bayer,ASPIRINA,170560020,500mg,com efev,12/11/2012,2024-12-12T14:36:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560020
